Participant,Product,Record Link,Evaluated Link,Task Objective,Task Start Time,Initial Emotional State,Task End Time,Final Emotional State,Task Success,Status Script,I think that I would like to use this system frequently,I found the system unnecessarily complex,I thought the system was easy to use,I think that I would need the support of a technical person to be able to use this system,I found the various functions in this system were well-integrated,I thought there was too much inconsistency in this system,I would imagine that most people would learn to use this system very quickly,I found the system very cumbersome to use,I felt very confident using the system,I needed to learn a lot of things before I could get going with this system,Manual Geral Satisfaction,Positive Sentiment Peak,Negative Sentiment Peak,Usability Informed,Usability Identified,Affect Identified,User Value Identified,User Experience Evaluation,Positive Sentiment Peak Identified,Negative Sentiment Peak Identified,Usability Score Informed (SUS),Usability Score Identified (SUS),All Positive Sentiment Identified,All Negative Sentiment Identified,Job Start,Job End,Evaluated Audio Link,Evaluated Subtitle Link,Evaluated AI SUS Sentences Link,SUS Identified Q1,SUS Identified Q2,SUS Identified Q3,SUS Identified Q4,SUS Identified Q5,SUS Identified Q6,SUS Identified Q7,SUS Identified Q8,SUS Identified Q9,SUS Identified Q10,Final
[Anonimized],[Anonymized],[Anonymized],[Anonymized],Describe what UXAPP is and what it is for,1/22/2024 2:56:20 PM,Positive,1/22/2024 15:02:00,Positive,Yes,DONE,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Satisfied,Image detailing the system,Popup for personal data,Good,Good,Positive,Satisfied,Good,"Satisfied(video) - 0m33s
Satisfied(video) - 0m39s
Satisfied(video) - 0m46s
Satisfied(video) - 1m0s
Positive (speech) - 1m7s",Negative (speech) - 2m55s,82.5,65,"Satisfied(video) - 0m33s
Satisfied(video) - 0m39s
Satisfied(video) - 0m46s
Satisfied(video) - 1m0s
Positive (speech) - 0m52s
Positive (speech) - 0m59s
Positive (speech) - 1m0s
Positive (speech) - 1m7s
Positive (speech) - 1m16s
Positive (speech) - 1m23s
Positive (speech) - 1m30s
Positive (speech) - 1m56s
Positive (speech) - 2m8s
Positive (speech) - 2m14s
Positive (speech) - 2m18s
Positive (speech) - 2m30s
Positive (speech) - 2m45s
Positive (speech) - 3m0s
Positive (speech) - 3m6s
Positive (speech) - 3m18s
Positive (speech) - 3m45s
Positive (speech) - 3m49s
Positive (speech) - 4m0s
Positive (speech) - 4m7s
Positive (speech) - 4m30s
Positive (speech) - 4m37s
Positive (speech) - 4m42s","Negative (speech) - 0m30s
Negative (speech) - 0m34s
Negative (speech) - 0m38s
Negative (speech) - 1m27s
Negative (speech) - 2m50s
Negative (speech) - 2m55s
Negative (speech) - 3m35s",10:45:00,10:59:20,[Anonymized],[Anonymized],[Anonymized],1,1,4,1,5,5,4,1,2,2,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Request an invitation to install UXAPP,1/22/2024 3:13:23 PM,Positive,1/22/2024 15:20:00,Negative,Yes,DONE,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,Dissatisfied,Finding the right invite location,Entrance popup,Neutral,Neutral,Negative,Neither satisfied nor dissatisfied,Neither good nor poor,Positive (speech) - 3m44s,Negative (speech) - 1m41s,40,47.5,Positive (speech) - 3m44s,"Negative (speech) - 0m10s
Negative (speech) - 1m17s
Negative (speech) - 1m32s
Negative (speech) - 1m41s
Negative (speech) - 2m33s
Negative (speech) - 2m37s
Negative (speech) - 2m50s
Negative (speech) - 2m55s
Negative (speech) - 3m0s
Negative (speech) - 3m11s
Negative (speech) - 3m17s
Negative (speech) - 3m38s
Negative (speech) - 4m0s
Negative (speech) - 4m27s
Negative (speech) - 4m30s
Negative (speech) - 4m37s
Negative (speech) - 4m41s",11:01:12,11:15:38,[Anonymized],[Anonymized],[Anonymized],1,4,2,5,5,5,5,4,5,1,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Get a usability test script with UXBOT,1/22/2024 3:24:05 PM,Positive,1/22/2024 15:35:00,Negative,No,DONE,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Dissatisfied,Find a hidden link,Not finding the script in the first few minutes,Poor,Poor,Negative,Neither satisfied nor dissatisfied,Poor,Positive (speech) - 6m27s,Negative (speech) - 5m42s,20,17.5,Positive (speech) - 6m27s,"Negative (speech) - 0m30s
Negative (speech) - 0m43s
Negative (speech) - 0m53s
Negative (speech) - 1m3s
Negative (speech) - 1m14s
Negative (speech) - 1m32s
Negative (speech) - 2m47s
Negative (speech) - 3m0s
Negative (speech) - 3m6s
Negative (speech) - 3m36s
Negative (speech) - 4m2s
Negative (speech) - 4m21s
Negative (speech) - 5m4s
Negative (speech) - 5m12s
Negative (speech) - 5m42s
Negative (speech) - 5m47s
Negative (speech) - 5m52s
Negative (speech) - 6m3s
Negative (speech) - 6m18s
Negative (speech) - 6m36s",11:52:15,12:12:06,[Anonymized],[Anonymized],[Anonymized],1,4,2,5,2,5,2,4,2,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Share the UXBOT website,1/22/2024 3:37:27 PM,Positive,1/22/2024 15:41:00,Neutral,Yes,DONE,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Very satisfied,Find the sharing location,The personal data registration popup,Good,Good,Positive,Neither satisfied nor dissatisfied,Good,"Positive (speech) - 2m0s
Positive (speech) - 2m27s",Negative (speech) - 1m12s,97.5,65,"Positive (speech) - 0m30s
Positive (speech) - 1m0s
Positive (speech) - 1m30s
Positive (speech) - 1m36s
Positive (speech) - 1m43s
Positive (speech) - 2m0s
Positive (speech) - 2m19s
Positive (speech) - 2m27s
Positive (speech) - 2m30s","Negative (speech) - 1m12s
Negative (speech) - 1m57s",12:20:07,12:33:02,[Anonymized],[Anonymized],[Anonymized],2,2,2,1,4,1,4,2,4,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Describe what UXAPP is and what it is for.,1/24/2024 14:32:06,Negative,1/24/2024 14:50:12,Negative,No,DONE,Disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Dissatisfied,none,"frustrated, the several times I tried to register the information and it was not possible throughout the test, confused because when the error was indicated, it was not possible to correct it.",Poor,Poor,Negative,Satisfied,Neither good nor poor,"Satisfied(video) - 7m30s
Positive (speech) - 0m1s",Negative (speech) - 1m20s,20,25,"Satisfied(video) - 7m30s
Positive (speech) - 0m1s","Negative (speech) - 1m20s
Negative (speech) - 1m30s
Negative (speech) - 1m35s
Negative (speech) - 2m9s
Negative (speech) - 2m25s
Negative (speech) - 2m30s
Negative (speech) - 3m1s
Negative (speech) - 3m37s
Negative (speech) - 4m0s
Negative (speech) - 4m41s
Negative (speech) - 4m52s
Negative (speech) - 5m14s
Negative (speech) - 5m31s
Negative (speech) - 5m42s
Negative (speech) - 6m51s
Negative (speech) - 7m46s
Negative (speech) - 8m15s
Negative (speech) - 8m22s
Negative (speech) - 9m1s",17:01:49,17:18:04,[Anonymized],[Anonymized],[Anonymized],2,4,2,2,2,5,1,4,2,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Request an invitation to install UXAPP.,1/24/2024 2:56:34 PM,Negative,1/24/2024 15:05:18,Negative,No,DONE,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Dissatisfied,a priori I found it simple and easy,"very frustrated, because although it seems to be easy, I couldn't progress, which caused me irritation.",Poor,Neutral,Negative,Satisfied,Neither good nor poor,"Satisfied(video) - 0m16s
Positive (speech) - 1m5s",Negative (speech) - 4m2s,30,37.5,"Satisfied(video) - 0m16s
Positive (speech) - 1m5s","Negative (speech) - 0m16s
Negative (speech) - 1m0s
Negative (speech) - 3m55s
Negative (speech) - 4m2s
Negative (speech) - 4m10s
Negative (speech) - 4m15s
Negative (speech) - 4m30s
Negative (speech) - 4m34s
Negative (speech) - 4m43s
Negative (speech) - 4m51s",12:21:15,12:41:18,[Anonymized],[Anonymized],[Anonymized],2,3,3,4,2,3,2,3,3,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Get a usability test script,1/24/2024 3:09:20 PM,Negative,1/24/2024 15:18:19,Positive,Yes,DONE,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Satisfied,In the middle of the test I believe I found the way and I was very satisfied.,"I didn't start, I felt lost.",Good,Good,Positive,Satisfied,Good,"Satisfied(video) - 1m55s
Positive (speech) - 5m33s",Negative (speech) - 0m41s,72.5,75,"Satisfied(video) - 1m55s
Positive (speech) - 2m3s
Positive (speech) - 4m0s
Positive (speech) - 5m14s
Positive (speech) - 5m33s
Positive (speech) - 5m38s
Positive (speech) - 5m42s",Negative (speech) - 0m41s,12:20:46,12:42:46,[Anonymized],[Anonymized],[Anonymized],4,2,4,2,4,2,4,2,4,2,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Share the UXAPP website,1/24/2024 3:21:22 PM,Neutral,1/24/2024 15:27:27,Positive,Yes,DONE,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Agree,Satisfied,"Throughout the test I felt confident, I felt good finding out how to share the app.",No negative feelings.,Good,Neutral,Negative,Neither satisfied nor dissatisfied,Neither good nor poor,Positive (speech) - 4m20s,Negative (speech) - 2m4s,67.5,35,Positive (speech) - 4m20s,"Negative (speech) - 1m21s
Negative (speech) - 2m4s
Negative (speech) - 2m39s
Negative (speech) - 3m2s
Negative (speech) - 4m14s",12:20:33,12:37:08,[Anonymized],[Anonymized],[Anonymized],2,3,3,5,2,3,2,3,3,4,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Describe what UXAPP is and what it is for,1/24/2024 5:06:46 PM,Neutral,1/24/2024 17:17:34,Negative,Yes,DONE,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither satisfied nor dissatisfied,"When opening the application, I found the website beautiful and that gave me satisfaction","When the data filling form appeared, I was scared and repulsed when providing the information",Poor,Good,Neutral,Satisfied,Good,"Satisfied(video) - 4m12s
Satisfied(video) - 4m12s
Positive (speech) - 0m31s",Negative (speech) - 4m1s,32.5,90,"Satisfied(video) - 2m34s
Satisfied(video) - 3m0s
Satisfied(video) - 4m12s
Satisfied(video) - 4m15s
Satisfied(video) - 4m30s
Positive (speech) - 0m31s
Positive (speech) - 4m48s
Positive (speech) - 6m51s
Positive (speech) - 6m59s","Negative (speech) - 0m41s
Negative (speech) - 0m52s
Negative (speech) - 1m0s
Negative (speech) - 1m26s
Negative (speech) - 1m30s
Negative (speech) - 1m36s
Negative (speech) - 2m9s
Negative (speech) - 3m0s
Negative (speech) - 3m9s
Negative (speech) - 3m20s
Negative (speech) - 3m30s
Negative (speech) - 3m48s
Negative (speech) - 4m1s
Negative (speech) - 4m15s
Negative (speech) - 4m30s
Negative (speech) - 5m12s",12:22:01,12:59:48,[Anonymized],[Anonymized],[Anonymized],5,1,5,5,5,1,5,1,5,1,1
[Anonymized],[Anonymized],[Anonymized],[Anonymized],Request an invitation to install UXAPP,1/24/2024 5:21:21 PM,Negative,1/24/2024 17:26:36,Negative,No,DONE,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Very unsatisfied,None,When I entered the correct email and it reported that it was invalid. It left me frustrated and angry,Neutral,Poor,Negative,Neither satisfied nor dissatisfied,Poor,Positive (speech) - 2m19s,"Negative (speech) - 3m10s
Negative (speech) - 3m30s",52.5,20,"Positive (speech) - 1m0s
Positive (speech) - 1m29s
Positive (speech) - 2m19s","Negative (speech) - 0m30s
Negative (speech) - 0m58s
Negative (speech) - 1m6s
Negative (speech) - 1m19s
Negative (speech) - 1m31s
Negative (speech) - 2m30s
Negative (speech) - 2m36s
Negative (speech) - 2m43s
Negative (speech) - 3m0s
Negative (speech) - 3m10s
Negative (speech) - 3m30s
Negative (speech) - 3m39s",12:22:17,12:41:41,[Anonymized],[Anonymized],[Anonymized],1,5,2,5,2,5,2,4,4,4,1
